11,9.666666666666666,3,CatEllington,0.0
11,9.666666666666666,3,John Chard,10.0
11,9.666666666666666,3,gastyny,10.0
11,9.666666666666666,3,r96sk,9.0
15,8.5,6,Gurre,9.0
15,8.5,6,talisencrw,10.0
15,8.5,6,msbreviews,10.0
15,8.5,6,r96sk,9.0
15,8.5,6,Wuchak,6.0
15,8.5,6,Geronimo1967,7.0
18,8.166666666666666,3,GeekMasher,9.5
18,8.166666666666666,3,FarSky,0.0
18,8.166666666666666,3,Ruuz,7.0
18,8.166666666666666,3,John Chard,8.0
24,7.5,4,tmdb13206453,10.0
24,7.5,4,John Chard,8.0
24,7.5,4,Wuchak,7.0
24,7.5,4,rsanek,5.0
28,6.5,4,IanBeale,5.0
28,6.5,4,Rocketeer Raccoon,1.0
28,6.5,4,Wuchak,10.0
28,6.5,4,John Chard,10.0
33,9.0,6,redTed,10.0
33,9.0,6,John Chard,10.0
33,9.0,6,John Chard,10.0
33,9.0,6,narrator56,10.0
33,9.0,6,Wuchak,7.0
33,9.0,6,r96sk,7.0
38,8.666666666666666,3,tanty,8.0
38,8.666666666666666,3,Wuchak,8.0
38,8.666666666666666,3,LovingStory,10.0
62,8.0,4,markuspm,0.0
62,8.0,4,izgzhen,8.0
62,8.0,4,tmdb47633491,10.0
62,8.0,4,Dark Jedi,6.0
62,8.0,4,Wuchak,8.0
77,9.25,4,John Chard,9.0
77,9.25,4,talisencrw,10.0
77,9.25,4,mattwilde123,10.0
77,9.25,4,AstroNoud,8.0
78,8.166666666666666,6,tmdb39513728,10.0
78,8.166666666666666,6,John Chard,10.0
78,8.166666666666666,6,jocosta3,6.0
78,8.166666666666666,6,Ruuz,8.0
78,8.166666666666666,6,tmdb40011370,8.0
78,8.166666666666666,6,Geronimo1967,7.0
85,8.0,3,tmdb39513728,0.0
85,8.0,3,Ruuz,7.0
85,8.0,3,Kamurai,7.0
85,8.0,3,kdumers,10.0
87,7.0,4,Potential Kermode,9.0
87,7.0,4,Ruuz,5.0
87,7.0,4,John Chard,9.0
87,7.0,4,Kamurai,5.0
89,7.666666666666667,3,John Chard,9.0
89,7.666666666666667,3,Ruuz,7.0
89,7.666666666666667,3,Kamurai,7.0
95,6.333333333333333,3,John Chard,7.0
95,6.333333333333333,3,Kamurai,6.0
95,6.333333333333333,3,Geronimo1967,6.0
98,9.333333333333334,3,Eky,10.0
98,9.333333333333334,3,John Chard,10.0
98,9.333333333333334,3,Kowalczyk,8.0
105,9.0,4,IanBeale,8.0
105,9.0,4,John Chard,10.0
105,9.0,4,ThePeruvianPost,9.0
105,9.0,4,JPV852,9.0
106,8.25,4,Ruuz,10.0
106,8.25,4,John Chard,10.0
106,8.25,4,Wuchak,6.0
106,8.25,4,Geronimo1967,7.0
114,7.666666666666667,3,John Chard,8.0
114,7.666666666666667,3,John Chard,8.0
114,7.666666666666667,3,RMoore35,7.0
120,8.857142857142858,7,NeoBrowser,10.0
120,8.857142857142858,7,gdeveloper,10.0
120,8.857142857142858,7,Wuchak,7.0
120,8.857142857142858,7,LadyGreenEyes,8.0
120,8.857142857142858,7,JPV852,9.0
120,8.857142857142858,7,narrator56,8.0
120,8.857142857142858,7,r96sk,10.0
121,8.5,4,NeoBrowser,10.0
121,8.5,4,Wuchak,6.0
121,8.5,4,JPV852,9.0
121,8.5,4,r96sk,9.0
122,8.75,4,NeoBrowser,10.0
122,8.75,4,Wuchak,5.0
122,8.75,4,JPV852,10.0
122,8.75,4,r96sk,10.0
122,8.75,4,pokycoder,0.0
137,7.333333333333333,3,tanty,7.0
